date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:34	4731/4731	---M-Z	200	added ('OK')	text/html	etag:%22d8c15a991c2eb8759204b0d20889f959-ssl-df%22	https://generative.ink/	generative.ink/index.html	(from )
14:44:35	13/13	---M--	200	added ('OK')	text/plain	etag:%228973ed9f3af19b050548e58fc8097e83-ssl%22	https://generative.ink/robots.txt		(from )
14:44:36	18899/18899	---MCZ	200	added ('OK')	text/css	etag:%228d0faf18842c9d8080479f1aa6aac7e5-ssl-df%22	https://generative.ink/main.3dfef3cae7b3dfd1c284fb47788fe6ccafa6d6dc72cd526044630ea8448e3524.css	generative.ink/main.3dfef3cae7b3dfd1c284fb47788fe6ccafa6d6dc72cd526044630ea8448e3524.css	(from https://generative.ink/)
14:44:36	5070/5070	---MCZ	404	error ('Not%20Found')	text/html	etag:1611551539-ssl-df	https://generative.ink/apple-touch-icon.png	generative.ink/apple-touch-icon.1.delayed	(from https://generative.ink/)
14:44:37	5070/5070	---MCZ	404	error ('Not%20Found')	text/html	etag:1611551539-ssl-df	https://generative.ink/favicon-32x32.png	generative.ink/favicon-32x32.2.delayed	(from https://generative.ink/)
14:44:38	5070/5070	---MCZ	404	error ('Not%20Found')	text/html	etag:1611551539-ssl-df	https://generative.ink/favicon-16x16.png	generative.ink/favicon-16x16.3.delayed	(from https://generative.ink/)
14:44:39	263/263	---M--	200	added ('OK')	application/octet-stream	etag:%2218710f16312025d1c75893eeff15e235-ssl%22	https://generative.ink/site.webmanifest	generative.ink/site.webmanifest	(from https://generative.ink/)
14:44:40	5070/5070	---MCZ	404	error ('Not%20Found')	text/html	etag:1611551539-ssl-df	https://generative.ink/safari-pinned-tab.svg	generative.ink/safari-pinned-tab.5.delayed	(from https://generative.ink/)
14:44:41	5070/5070	---MCZ	404	error ('Not%20Found')	text/html	etag:1611551539-ssl-df	https://generative.ink/favicon.ico	generative.ink/favicon.6.delayed	(from https://generative.ink/)
14:44:43	7751/7751	---MCZ	200	added ('OK')	application/xml	etag:%22b08a7afd66d4268b354350481be6f383-ssl-df%22	https://generative.ink/index.xml	generative.ink/index.xml	(from https://generative.ink/)
14:44:44	369974/369974	---M--	200	added ('OK')	image/gif	etag:%22ebe1328af20114172b99c6569aed9c60-ssl%22	https://generative.ink/images/home/rolling_phase.gif	generative.ink/images/home/rolling_phase.gif	(from https://generative.ink/)
14:44:44	4050/4050	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22a96a487639b760d591b65ed6f615e394-ssl-df%22	https://generative.ink/posts	generative.ink/posts.9.delayed	(from https://generative.ink/)
14:44:45	4590/4590	---MCZ	200	added ('OK')	text/html	etag:%225af590e9f013be7f2dc61a5f6f6423b5-ssl-df%22	https://generative.ink/trees/	generative.ink/trees/index.html	(from https://generative.ink/)
14:44:45	15841/15841	---MCZ	200	added ('OK')	text/html	etag:%22a96a487639b760d591b65ed6f615e394-ssl-df%22	https://generative.ink/posts/	generative.ink/posts/index.html	(from https://generative.ink/)
14:44:45	34751/34751	---MCZ	200	added ('OK')	text/html	etag:%227fb6e8dc1eec1441176e01e5af415a86-ssl-df%22	https://generative.ink/prophecies/	generative.ink/prophecies/index.html	(from https://generative.ink/)
14:44:45	5688/5688	---MCZ	200	added ('OK')	text/html	etag:%228dc9f9fe34556d1282620d309c3416f3-ssl-df%22	https://generative.ink/about/	generative.ink/about/index.html	(from https://generative.ink/)
14:44:46	2146/2146	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%228dc9f9fe34556d1282620d309c3416f3-ssl-df%22	https://generative.ink/about	generative.ink/about.a.delayed	(from https://generative.ink/)
14:44:48	323066/323066	---MCZ	200	added ('OK')	application/javascript	etag:%226db25bdec8c8cfbe4f73d17b1f00cb9b-ssl-df%22	https://generative.ink/bundle.min.dc716e9092c9820b77f96da294d0120aeeb189b5bcea9752309ebea27fd53bbe6b13cffb2aca8ecf32525647ceb7001f76091de4199ac5a3caa432c070247f5b.js	generative.ink/bundle.min.dc716e9092c9820b77f96da294d0120aeeb189b5bcea9752309ebea27fd53bbe6b13cffb2aca8ecf32525647ceb7001f76091de4199ac5a3caa432c070247f5b.js	(from https://generative.ink/)
14:44:49	88268/88268	---M--	200	added ('OK')	font/woff2	etag:%222d4b335b892c952b22853ddbea9b04f7-ssl%22	https://generative.ink/fonts/Inter-UI-Regular.woff2	generative.ink/fonts/Inter-UI-Regular.woff2	(from https://generative.ink/main.3dfef3cae7b3dfd1c284fb47788fe6ccafa6d6dc72cd526044630ea8448e3524.css)
14:44:51	94776/94776	---M--	200	added ('OK')	font/woff2	etag:%221a2d6b6323b8b387693402cc113e39f5-ssl%22	https://generative.ink/fonts/Inter-UI-Italic.woff2	generative.ink/fonts/Inter-UI-Italic.woff2	(from https://generative.ink/main.3dfef3cae7b3dfd1c284fb47788fe6ccafa6d6dc72cd526044630ea8448e3524.css)
14:44:52	126516/126516	---MCZ	200	added ('OK')	application/font-woff	etag:%22d5a33c04e79bb3cc7b3d369d59e23dfc-ssl-df%22	https://generative.ink/fonts/Inter-UI-Italic.woff	generative.ink/fonts/Inter-UI-Italic.woff	(from https://generative.ink/main.3dfef3cae7b3dfd1c284fb47788fe6ccafa6d6dc72cd526044630ea8448e3524.css)
14:44:53	117956/117956	---MCZ	200	added ('OK')	application/font-woff	etag:%229ca036fa099c301f382a7f0135fe58fb-ssl-df%22	https://generative.ink/fonts/Inter-UI-Regular.woff	generative.ink/fonts/Inter-UI-Regular.woff	(from https://generative.ink/main.3dfef3cae7b3dfd1c284fb47788fe6ccafa6d6dc72cd526044630ea8448e3524.css)
14:44:53	94888/94888	---M--	200	added ('OK')	font/woff2	etag:%2241b3b4f069b9fe11a0c2d1851657a441-ssl%22	https://generative.ink/fonts/Inter-UI-Medium.woff2	generative.ink/fonts/Inter-UI-Medium.woff2	(from https://generative.ink/main.3dfef3cae7b3dfd1c284fb47788fe6ccafa6d6dc72cd526044630ea8448e3524.css)
14:44:54	125704/125704	---MCZ	200	added ('OK')	application/font-woff	etag:%224c3fbd837abb4ffb417cef6beefa462b-ssl-df%22	https://generative.ink/fonts/Inter-UI-Medium.woff	generative.ink/fonts/Inter-UI-Medium.woff	(from https://generative.ink/main.3dfef3cae7b3dfd1c284fb47788fe6ccafa6d6dc72cd526044630ea8448e3524.css)
14:44:54	100196/100196	---M--	200	added ('OK')	font/woff2	etag:%22207a73d7562df43b376125367daf811c-ssl%22	https://generative.ink/fonts/Inter-UI-MediumItalic.woff2	generative.ink/fonts/Inter-UI-MediumItalic.woff2	(from https://generative.ink/main.3dfef3cae7b3dfd1c284fb47788fe6ccafa6d6dc72cd526044630ea8448e3524.css)
14:44:56	132668/132668	---MCZ	200	added ('OK')	application/font-woff	etag:%229cc96649957a0276e3be614c89d62f4e-ssl-df%22	https://generative.ink/fonts/Inter-UI-MediumItalic.woff	generative.ink/fonts/Inter-UI-MediumItalic.woff	(from https://generative.ink/main.3dfef3cae7b3dfd1c284fb47788fe6ccafa6d6dc72cd526044630ea8448e3524.css)
14:44:57	95580/95580	---M--	200	added ('OK')	font/woff2	etag:%22fed039cfec83255add5ff642213ff806-ssl%22	https://generative.ink/fonts/Inter-UI-Bold.woff2	generative.ink/fonts/Inter-UI-Bold.woff2	(from https://generative.ink/main.3dfef3cae7b3dfd1c284fb47788fe6ccafa6d6dc72cd526044630ea8448e3524.css)
14:44:58	126476/126476	---MCZ	200	added ('OK')	application/font-woff	etag:%22dc4319d0c147975da7628cdfecc18a8d-ssl-df%22	https://generative.ink/fonts/Inter-UI-Bold.woff	generative.ink/fonts/Inter-UI-Bold.woff	(from https://generative.ink/main.3dfef3cae7b3dfd1c284fb47788fe6ccafa6d6dc72cd526044630ea8448e3524.css)
14:44:59	99844/99844	---M--	200	added ('OK')	font/woff2	etag:%220b1af8f51d0dbae57168c7e5c7d8cdc0-ssl%22	https://generative.ink/fonts/Inter-UI-BoldItalic.woff2	generative.ink/fonts/Inter-UI-BoldItalic.woff2	(from https://generative.ink/main.3dfef3cae7b3dfd1c284fb47788fe6ccafa6d6dc72cd526044630ea8448e3524.css)
14:45:00	132784/132784	---MCZ	200	added ('OK')	application/font-woff	etag:%227bd578cdf99cc61bef961060354296c8-ssl-df%22	https://generative.ink/fonts/Inter-UI-BoldItalic.woff	generative.ink/fonts/Inter-UI-BoldItalic.woff	(from https://generative.ink/main.3dfef3cae7b3dfd1c284fb47788fe6ccafa6d6dc72cd526044630ea8448e3524.css)
14:45:02	7703/7703	---MCZ	200	added ('OK')	text/html	etag:%223a233d4b23f6a12562ef180380443159-ssl-df%22	https://generative.ink/categories/hitl/	generative.ink/categories/hitl/index.html	(from https://generative.ink/posts/)
